Date, Open, High, Low, Close
07/29/21, 34985.99, 35171.52, 34985.99, 35084.53
07/28/21, 35109.95, 35116.37, 34876.84, 34930.93
07/27/21, 35078.90, 35078.90, 34878.07, 35058.52
07/26/21, 35055.86, 35150.37, 34950.19, 35144.31
07/23/21, 34855.11, 35095.33, 34855.11, 35061.55
07/22/21, 34799.68, 34879.28, 34673.03, 34823.35
07/21/21, 34556.96, 34820.24, 34556.96, 34798.00
07/20/21, 33981.79, 34621.79, 33981.79, 34511.99
07/19/21, 34528.48, 34528.48, 33741.76, 33962.04
07/16/21, 35007.94, 35090.01, 34647.82, 34687.85
07/15/21, 34924.81, 34990.41, 34762.87, 34987.02
07/14/21, 34920.83, 35069.18, 34826.87, 34933.23
07/13/21, 34959.96, 35018.79, 34876.89, 34888.79
07/12/21, 34836.75, 35014.90, 34730.15, 34996.18
07/09/21, 34457.51, 34893.72, 34457.51, 34870.16
07/08/21, 34569.01, 34569.01, 34145.59, 34421.93
07/07/21, 34604.17, 34708.78, 34435.59, 34681.79
07/06/21, 34790.16, 34814.20, 34358.42, 34577.37
07/02/21, 34642.42, 34821.93, 34613.49, 34786.35
07/01/21, 34507.32, 34640.28, 34498.85, 34633.53
06/30/21, 34290.74, 34553.16, 34245.48, 34502.51
06/29/21, 34338.89, 34469.83, 34266.83, 34292.29
06/28/21, 34428.10, 34449.65, 34186.13, 34283.27
06/25/21, 34328.10, 34501.02, 34314.80, 34433.84
06/24/21, 33933.91, 34233.02, 33933.91, 34196.82
06/23/21, 33948.54, 34009.40, 33869.83, 33874.24
06/22/21, 33872.56, 34040.70, 33751.06, 33945.58
06/21/21, 33312.07, 33908.09, 33312.07, 33876.97
06/18/21, 33622.70, 33622.70, 33271.93, 33290.08
06/17/21, 34014.38, 34091.79, 33626.61, 33823.45
06/16/21, 34308.48, 34333.25, 33917.11, 34033.67
06/15/21, 34397.10, 34420.38, 34199.16, 34299.33
06/14/21, 34472.52, 34472.52, 34211.54, 34393.75
06/11/21, 34499.81, 34618.09, 34328.65, 34479.60
06/10/21, 34502.51, 34737.79, 34447.25, 34466.24
06/09/21, 34626.16, 34654.67, 34439.37, 34447.14
06/08/21, 34645.84, 34665.38, 34452.94, 34599.82
06/07/21, 34766.20, 34820.91, 34574.51, 34630.24
06/04/21, 34618.69, 34772.12, 34618.69, 34756.39
06/03/21, 34550.31, 34667.41, 34334.41, 34577.04
06/02/21, 34614.62, 34706.65, 34545.96, 34600.38
06/01/21, 34584.19, 34849.32, 34542.87, 34575.31
05/28/21, 34558.50, 34631.11, 34520.09, 34529.45
05/27/21, 34432.47, 34608.82, 34389.24, 34464.64
05/26/21, 34336.34, 34409.59, 34271.44, 34323.05
05/25/21, 34428.66, 34511.35, 34266.03, 34312.46
05/24/21, 34253.87, 34472.51, 34253.87, 34393.98
05/21/21, 34121.91, 34415.48, 34121.91, 34207.84
05/20/21, 33906.30, 34233.40, 33872.41, 34084.15
05/19/21, 33945.81, 33945.81, 33473.80, 33896.04
05/18/21, 34351.18, 34408.99, 34044.10, 34060.66
05/17/21, 34375.29, 34383.84, 34176.65, 34327.79
05/14/21, 34050.86, 34454.05, 34050.86, 34382.13
05/13/21, 33624.74, 34181.77, 33623.49, 34021.45
05/12/21, 34206.40, 34207.87, 33555.22, 33587.66
05/11/21, 34572.74, 34572.74, 34075.31, 34269.16
05/10/21, 34785.27, 35091.56, 34741.57, 34742.82
05/07/21, 34578.27, 34811.39, 34464.31, 34777.76
05/06/21, 34245.11, 34561.29, 34185.06, 34548.53
05/05/21, 34163.99, 34331.20, 34039.66, 34230.34
05/04/21, 34080.20, 34147.78, 33765.68, 34133.03
05/03/21, 33904.89, 34221.06, 33904.89, 34113.23
04/30/21, 33988.75, 33988.75, 33784.96, 33874.85
04/29/21, 33855.64, 34087.21, 33744.28, 34060.36
04/28/21, 33860.46, 33946.60, 33805.56, 33820.38
04/27/21, 33932.13, 34043.98, 33870.46, 33984.93
04/26/21, 34044.23, 34148.94, 33941.37, 33981.57
04/23/21, 33804.52, 34157.57, 33713.29, 34043.49
04/22/21, 34109.88, 34126.57, 33717.19, 33815.90
04/21/21, 33808.30, 34160.34, 33773.80, 34137.31
04/20/21, 34034.18, 34034.18, 33687.01, 33821.30
04/19/21, 34182.38, 34182.38, 33980.56, 34077.63
04/16/21, 34058.16, 34256.75, 34058.16, 34200.67
04/15/21, 33788.53, 34068.73, 33788.53, 34035.99
04/14/21, 33668.95, 33911.25, 33668.95, 33730.89
04/13/21, 33721.16, 33741.64, 33545.84, 33677.27
04/12/21, 33775.06, 33786.19, 33665.54, 33745.40
04/09/21, 33526.19, 33810.87, 33526.19, 33800.60
04/08/21, 33469.89, 33506.80, 33342.64, 33503.57
04/07/21, 33444.98, 33521.76, 33347.96, 33446.26
04/06/21, 33500.02, 33544.79, 33380.43, 33430.24
04/05/21, 33222.38, 33617.95, 33222.38, 33527.19
04/01/21, 33054.58, 33167.17, 32985.35, 33153.21
03/31/21, 33116.04, 33173.77, 32980.57, 32981.55
03/30/21, 33127.88, 33170.93, 32988.92, 33066.96
03/29/21, 33087.55, 33259.00, 32905.13, 33171.37
03/26/21, 32681.07, 33098.83, 32681.07, 33072.88
03/25/21, 32346.81, 32672.69, 32071.41, 32619.48
03/24/21, 32470.88, 32787.99, 32418.15, 32420.06
03/23/21, 32691.50, 32753.77, 32356.28, 32423.15
03/22/21, 32601.82, 32810.35, 32512.53, 32731.20
03/19/21, 32858.36, 32858.36, 32505.07, 32627.97
03/18/21, 32928.16, 33227.78, 32831.25, 32862.30
03/17/21, 32825.52, 33047.58, 32782.18, 33015.37
03/16/21, 32966.75, 32966.75, 32778.23, 32825.95
03/15/21, 32798.84, 32973.40, 32629.75, 32953.46
03/12/21, 32462.40, 32793.32, 32462.40, 32778.64
03/11/21, 32354.50, 32661.59, 32345.70, 32485.59
03/10/21, 31906.96, 32389.50, 31906.96, 32297.02
03/09/21, 31892.35, 32150.32, 31822.64, 31832.74
03/08/21, 31512.15, 32148.04, 31512.15, 31802.44
03/05/21, 31029.18, 31580.33, 30766.81, 31496.30
03/04/21, 31289.01, 31461.97, 30547.53, 30924.14
03/03/21, 31352.96, 31563.31, 31260.14, 31270.09
03/02/21, 31535.37, 31623.27, 31377.16, 31391.52
03/01/21, 31065.90, 31668.34, 31065.90, 31535.51
02/26/21, 31401.29, 31450.89, 30911.37, 30932.37
02/25/21, 31955.94, 31984.77, 31293.32, 31402.01
02/24/21, 31499.75, 32009.64, 31421.29, 31961.86
02/23/21, 31501.89, 31653.38, 31158.76, 31537.35
02/22/21, 31381.12, 31653.48, 31286.57, 31521.69
02/19/21, 31504.13, 31647.53, 31469.34, 31494.32
02/18/21, 31558.60, 31558.60, 31285.32, 31493.34
02/17/21, 31485.61, 31643.70, 31338.76, 31613.02
02/16/21, 31472.08, 31608.63, 31443.48, 31522.75
02/12/21, 31420.80, 31475.31, 31347.80, 31458.40
02/11/21, 31466.49, 31543.82, 31244.36, 31430.70
02/10/21, 31428.02, 31511.44, 31221.32, 31437.80
02/09/21, 31359.88, 31439.47, 31245.86, 31375.83
02/08/21, 31191.20, 31386.10, 31191.20, 31385.76
02/05/21, 31093.81, 31252.18, 31083.22, 31148.24
02/04/21, 30737.78, 31065.96, 30737.78, 31055.86
02/03/21, 30689.65, 30793.41, 30521.31, 30723.60
02/02/21, 30276.88, 30840.54, 30276.88, 30687.48
02/01/21, 30054.73, 30335.91, 30014.97, 30211.91
01/29/21, 30553.91, 30553.91, 29856.30, 29982.62
01/28/21, 30377.19, 30951.41, 30377.19, 30603.36
01/27/21, 30893.78, 30893.78, 30206.91, 30303.17
01/26/21, 30968.55, 31121.42, 30921.71, 30937.04
01/25/21, 30989.85, 30989.85, 30564.06, 30960.00
01/22/21, 31141.56, 31141.56, 30908.47, 30996.98
01/21/21, 31198.01, 31272.22, 31120.92, 31176.01
01/20/21, 31017.54, 31235.98, 30997.79, 31188.38
